host_id,title,description,address,lat,lng,bathroom_count,bed_count,bedroom_count,headcount_capacity,cleaning_fee,daily_price,lodging_tax_ratio,sale_ratio,service_fee,rating_star_score,review_count
881,(주) 마루넥스트에너지 멘션,"Consequatur minima voluptatem. Earum ipsam deserunt quidem assumenda quos.
Officiis voluptates at fuga. Eum culpa consectetur impedit error labore neque.",인천광역시 동구 강남대05가 226 (민석김류읍),37.1759,128.9889,2,4,3,10,1600,261163,10,7,2300,2.07,85
1220,(주) 발해기획 모텔,"Nobis commodi eos quae est nulla. Placeat nesciunt recusandae error blanditiis.
Id sapiente amet quae. Itaque eius sapiente excepturi. Suscipit asperiores odit atque laborum iusto.",인천광역시 서초구 학동로 663,36.6009,126.665,1,3,1,9,6000,112446,10,2,1300,1.31,397
473,(주) 네오자동차 멘션,"Fugit laboriosam autem asperiores molestias repellendus neque.
Dolorem exercitationem ab quos. Accusamus aut ipsum aperiam. Qui fugiat dolor ullam.
Voluptate ut eligendi. Et corporis dicta suscipit.",인천광역시 관악구 도산대78로 478,36.82167,128.63083,1,2,3,4,8900,85671,10,1,4100,3.36,236
98,(유) 하나시스템즈 게스트하우스,"Voluptatum reiciendis reiciendis illo nesciunt in cumque ex.
Ea deleniti unde vel. Quod nostrum odit adipisci perferendis.
Molestias hic quia quo aliquid nihil. Dolores suscipit debitis eos eaque.",세종특별자치시 노원구 반포대로 612-6,37.65639,126.835,2,5,4,8,2800,235206,10,5,1200,1.22,448
118,주식회사 한가람엔지니어링 멘션,Numquam minima distinctio a. Repellendus in nobis perspiciatis vero alias. Neque quo nihil sequi commodi. Quas ab cumque consequatur rem hic.,충청남도 양평군 영동대길 392 (성진박김마을),36.20389,127.08472,1,1,1,7,2100,366115,10,5,4300,2.19,361
1299,유한회사 유니온제조 게스트하우스,Assumenda minus officiis quis quas voluptatibus dolore. Eveniet dignissimos sapiente iusto provident sint. Ea molestiae exercitationem odio.,울산광역시 강남구 가락0로 748 (선영김마을),37.1759,128.9889,2,2,3,8,5800,93217,10,3,500,3.22,347
1491,주식회사 중앙 멘션,"Vero saepe fugit debitis delectus consectetur delectus id. Ipsum ut voluptatem magnam optio.
Facere quaerat doloremque autem. Fugit culpa itaque odio.",서울특별시 종로구 삼성길 714-31,34.8825,128.62667,2,5,3,7,5000,441203,10,3,3600,4.69,362
1048,주식회사 종합다올소프트 도미토리,"Doloribus voluptate mollitia repellat.
Dicta repellat aspernatur. Ab nemo reiciendis numquam ullam qui molestiae. Corrupti illo consequuntur.",경기도 청주시 상당구 강남대32길 927-42,37.65639,126.835,1,1,5,8,6300,210862,10,8,2700,3.89,65
1482,유한회사 스타 멘션,"Veniam nostrum sint itaque. Dolorum adipisci ipsam beatae cumque accusamus. Corporis rem suscipit optio deleniti dolor exercitationem distinctio.
Iure odit distinctio dolorum dolore beatae provident.",서울특별시 북구 테헤란373로 515 (정남홍허읍),34.8825,128.62667,2,3,2,5,5800,528851,10,1,700,2.58,99
48,(유) 월드보안 모텔,Exercitationem veritatis deserunt nemo. Assumenda non reiciendis mollitia excepturi ut. Repellendus nobis incidunt veniam architecto officia.,부산광역시 서대문구 언주로 439-90,37.65639,126.835,3,1,3,1,8700,95770,10,3,4900,1.14,119
